Region,Pearsons Coeff,BOKU Mean,Sussex Mean,Difference In mean(Boku-Sussex),Standard Dev (BOKU - Sussex),Fraction Of Time <35 VCI Sussex,Percentage of time Sussex,BOKU Frac Of time <35 VCI,Percentage of time BOKU,Percentage Of BOKU < 35 when Sussex <35,Percentage of time Sussex < 35 when BOKU < 35
Baringo_Z24 vs Baringo,0.978,50.0,55.671,-6.171,4.488,0.158,15.764,0.256,25.616,100.0,61.538
Garissa_Z10 vs Garissa,0.837,39.0,43.904,-4.757,11.573,0.359,35.922,0.495,49.515,91.892,66.667
Isiolo_Z10 vs Isiolo,0.696,34.0,45.36,-11.758,15.841,0.404,40.437,0.585,58.47,83.784,57.944
Isiolo_Z24 vs Isiolo,0.579,34.0,49.943,-16.014,17.52,0.24,24.0,0.575,57.5,85.417,35.652
Isiolo_Z5 vs Isiolo,0.67,34.0,47.485,-13.623,13.708,0.217,21.717,0.576,57.576,86.047,32.456
Isiolo_Z9 vs Isiolo,0.734,34.0,32.39,1.379,12.63,0.607,60.714,0.582,58.163,74.79,78.07
Kajiado_Z15 vs Kajiado,0.938,41.0,38.059,2.657,6.122,0.45,45.0,0.417,41.667,85.185,92.0
Kajiado_Z18 vs Kajiado,0.907,40.0,39.566,0.793,8.06,0.391,39.08,0.42,41.954,89.706,83.562
Laikipia_Z24 vs Laikipia,0.966,47.0,55.816,-9.012,5.558,0.131,13.131,0.293,29.293,100.0,44.828
Mandera_Z7 vs Mandera,0.828,36.0,35.414,0.572,12.991,0.66,65.986,0.517,51.701,74.227,94.737
Mandera_Z9 vs Mandera,0.835,36.0,38.072,-2.317,12.026,0.582,58.156,0.518,51.773,80.488,90.411
Marsabit_Z5 vs Marsabit,0.839,33.0,30.799,2.205,8.197,0.665,66.497,0.579,57.868,77.863,89.474
Marsabit_Z7 vs Marsabit,0.76,31.0,34.534,-3.6,13.941,0.566,56.618,0.684,68.382,85.714,70.968
Narok_Z15 vs Narok,0.932,51.0,54.196,-3.021,6.039,0.107,10.66,0.183,18.274,100.0,58.333
Narok_Z18 vs Narok,0.834,51.0,37.323,14.068,10.242,0.538,53.769,0.181,18.09,33.645,100.0
Samburu_Z24 vs Samburu,0.844,39.0,44.891,-5.399,10.615,0.356,35.644,0.376,37.624,77.778,73.684
Samburu_Z5 vs Samburu,0.911,39.0,46.003,-6.516,6.814,0.264,26.368,0.378,37.811,94.34,65.789
TanaRiver_Z11 vs TanaRiver,0.778,39.0,43.499,-4.249,13.116,0.429,42.857,0.435,43.537,79.365,78.125
Turkana_Z1 vs Turkana,0.954,36.0,39.408,-3.023,5.114,0.483,48.276,0.537,53.695,96.939,87.156
Turkana_Z24 vs Turkana,0.856,36.0,45.118,-8.734,10.202,0.384,38.424,0.537,53.695,93.59,66.972
Turkana_Z3 vs Turkana,0.87,36.0,33.923,2.462,8.643,0.567,56.65,0.537,53.695,81.739,86.239
Wajir_Z10 vs Wajir,0.797,33.0,40.461,-7.659,13.017,0.429,42.857,0.629,62.857,91.111,62.121
Wajir_Z7 vs Wajir,0.753,33.0,30.34,3.05,13.624,0.686,68.627,0.608,60.784,78.095,88.172
Wajir_Z9 vs Wajir,0.77,33.0,37.566,-4.824,14.162,0.601,60.145,0.616,61.594,86.747,84.706
WestPokot_Z1 vs WestPokot,0.938,49.0,51.914,-3.109,6.423,0.192,19.212,0.246,24.631,87.179,68.0
WestPokot_Z24 vs WestPokot,0.771,49.0,65.672,-17.157,11.844,0.015,1.508,0.251,25.126,100.0,6.0
Averages,0.83,38.984,42.974,-3.991,10.481,0.403,40.308,0.462,46.188,85.217,70.139
